"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pa_25_S2_E";"Pa";"25";"S2";"E";NA;NA;"orange";"blue";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S2";"18";"Pa_S2";"Pa_25";31;"orange"
"Pa_25_S2_R";"Pa";"25";"S2";"R";NA;NA;"orange";"blue";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S2";"18";"Pa_S2";"Pa_25";31;"orange"
"Pa_25_S2_Rp";"Pa";"25";"S2";"Rp";NA;NA;"orange";"blue";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S2";"18";"Pa_S2";"Pa_25";31;"orange"
"Pa_27_S1_E";"Pa";"27";"S1";"E";NA;NA;"orange";"green";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S1";"17";"Pa_S1";"Pa_27";16;"orange"
"Pa_27_S1_R";"Pa";"27";"S1";"R";NA;NA;"orange";"green";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S1";"17";"Pa_S1";"Pa_27";16;"orange"
"Pa_27_S1_Rp";"Pa";"27";"S1";"Rp";NA;NA;"orange";"green";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S1";"17";"Pa_S1";"Pa_27";16;"orange"
"Pa_29_S2_E";"Pa";"29";"S2";"E";NA;NA;"orange";"blue";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S2";"18";"Pa_S2";"Pa_29";31;"orange"
"Pa_29_S2_R";"Pa";"29";"S2";"R";NA;NA;"orange";"blue";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S2";"18";"Pa_S2";"Pa_29";31;"orange"
"Pa_29_S2_Rp";"Pa";"29";"S2";"Rp";NA;NA;"orange";"blue";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S2";"18";"Pa_S2";"Pa_29";31;"orange"
"Pa_3_S1_E";"Pa";"3";"S1";"E";NA;NA;"orange";"green";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S1";"17";"Pa_S1";"Pa_3";16;"orange"
"Pa_3_S1_R";"Pa";"3";"S1";"R";NA;NA;"orange";"green";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S1";"17";"Pa_S1";"Pa_3";16;"orange"
